id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
256,7728,Drake Creek,Valid,L6,5000,Fell,1827,36.4,-86.5,16380
257,7731,Dresden (Ontario),Valid,H6,47700,Fell,1939,42.52,-82.26,53304
258,7736,Dubrovnik,Valid,L3-6,1900,Fell,1951,42.45833,18.44167,58405
259,7743,Dunbogan,Valid,L6,30,Fell,1999,-31.66667,152.83333,79517
260,7745,Dundrum,Valid,H5,2270,Fell,1865,52.55,-8.03333,94798
261,7749,Dunhua,Valid,Stone-uncl,,Fell,1976,43.33333,128.25,28832
262,7750,Durala,Valid,L6,13200,Fell,1815,30.3,76.63333,64845
263,7752,Duruma,Valid,L6,577,Fell,1853,-4,39.5,66654
264,7754,Duwun,Valid,L6,2117,Fell,1943,33.43333,127.26667,52173
265,7755,Dwaleni,Valid,H4-6,3230,Fell,1970,-27.2,31.31667,62780
266,7757,Dyalpur,Valid,Ureilite,300,Fell,1872,26.25,82,38912
267,7758,Dyarrl Island,Valid,Mesosiderite-A1,188,Fell,1933,-3,151,60894
268,7760,Eagle,Valid,EL6,10000,Fell,1947,40.78167,-96.47167,16818
269,7774,Ehole,Valid,H5,2400,Fell,1961,-17.3,15.83333,25104
270,7775,Eichstädt,Valid,H5,3000,Fell,1785,48.9,11.21667,75224
271,7776,Ekeby,Valid,H4,3336,Fell,1939,56.03333,13,8126
272,7777,Ekh Khera,Valid,H6,840,Fell,1916,28.26667,78.78333,76184
273,7807,El Idrissia,Valid,L6,10000,Fell,1989,34.41667,3.25,57769
274,45977,El Paso de Aguila,Valid,H5,17226,Fell,1977,25.37,-97.37,89238
275,7819,El Tigre,Valid,L6,5000,Fell,1993,19.96722,-103.05167,70559
276,7822,Elbert,Valid,LL6,680.5,Fell,1998,39.24667,-104.58817,65762
277,7823,Elbogen,Valid,"Iron, IID",107000,Fell,1400,50.18333,12.73333,91366
278,7824,Elenovka,Valid,L5,54640,Fell,1951,47.83333,37.66667,17512
279,10019,Ellemeet,Valid,Diogenite,1470,Fell,1925,51.75,4,50383
280,10033,Emmaville,Valid,Eucrite-mmict,127,Fell,1900,-29.46667,151.61667,15163
281,10038,Enshi,Valid,H5,8000,Fell,1974,30.3,109.5,93111
282,10039,Ensisheim,Valid,LL6,127000,Fell,1492,47.86667,7.35,65999
283,10041,Épinal,Valid,H5,277,Fell,1822,48.18333,6.46667,98513
284,10042,Erakot,Valid,CM2,113,Fell,1940,19.03333,81.89167,76849
285,10043,Erevan,Valid,Howardite,107.2,Fell,1911,40.3,44.5,97864
286,10044,Ergheo,Valid,L5,20000,Fell,1889,1.16667,44.16667,64709
287,10049,Erxleben,Valid,H6,2250,Fell,1812,52.21667,11.25,60133
288,10051,Esnandes,Valid,L6,1500,Fell,1837,46.25,-1.1,24646
289,10055,Essebi,Valid,C2-ung,500,Fell,1957,2.88333,30.83333,98791
290,10059,Estherville,Valid,Mesosiderite-A3/4,320000,Fell,1879,43.41667,-94.83333,44470
291,10074,Farmington,Valid,L5,89400,Fell,1890,39.75,-97.03333,18582
292,10075,Farmville,Valid,H4,56000,Fell,1934,35.55,-77.53333,96797
293,10078,Favars,Valid,H5,1500,Fell,1844,44.38333,2.81667,72618
294,10079,Fayetteville,Valid,H4,2360,Fell,1934,36.05,-94.16667,67269
295,10080,Feid Chair,Valid,H4,380,Fell,1875,36.88333,8.45,97913
296,10081,Felix,Valid,CO3.3,3200,Fell,1900,32.53333,-87.16667,47306
297,10086,Fenghsien-Ku,Valid,H5,82,Fell,1924,34.6,116.75,44717
298,10088,Ferguson,Valid,OC,220,Fell,1889,36.1,-81.41667,90880
299,10091,Fermo,Valid,H3-5,10200,Fell,1996,43.18111,13.75333,89278
300,10107,Fisher,Valid,L6,17600,Fell,1894,47.81667,-96.85,16266
301,10111,Florence,Valid,H3,3640,Fell,1922,30.83333,-97.76667,55948
302,10119,Forest City,Valid,H5,152000,Fell,1890,43.25,-93.66667,71579
303,10120,Forest Vale,Valid,H4,26000,Fell,1942,-33.35,146.85833,54031
304,10123,Forksville,Valid,L6,6067,Fell,1924,36.78333,-78.08333,52784
305,10163,Forsbach,Valid,H6,240,Fell,1900,50.95,7.31667,26157
